"ELF","OPLabel","OPLabelString","MinDistance","country"
"Antigua and Barbuda","Antigua and Barbuda","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/ATG"
"Argentina","Argentina","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/ARG"
"Aruba","Aruba","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/ABW"
"Australia","Australia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/AUS"
"Austria","Austria","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/AUT"
"Azerbaijan","Azerbaijan","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/AZE"
"Bahamas","Bahamas","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BHS"
"Bahrain","Bahrain","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BHR"
"Barbados","Barbados","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BRB"
"Belarus","Belarus","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BLR"
"Belgium","Belgium","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BEL"
"Belize","Belize","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BLZ"
"Bermuda","Bermuda","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BMU"
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BES"
"Botswana","Botswana","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BWA"
"Brazil","Brazil","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BRA"
"Brunei Darussalam","Brunei Darussalam","AltLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BRN"
"Bulgaria","Bulgaria","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/BGR"
"Cambodia","Cambodia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/KHM"
"Canada","Canada","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CAN"
"Cayman Islands","Cayman Islands","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CYM"
"Chile","Chile","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CHL"
"China","China","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CHN"
"Colombia","Colombia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/COL"
"Cook Islands","Cook Islands","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/COK"
"Costa Rica","Costa Rica","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CRI"
"Croatia","Croatia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/HRV"
"Curaçao","Curaçao","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CUW"
"Cyprus","Cyprus","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CYP"
"Czechia","Czechia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CZE"
"Denmark","Denmark","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/DNK"
"Dominican Republic","Dominican Republic","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/DOM"
