"ELF","OP","MinDistance","country"
"Antigua and Barbuda","Antigua and Barbuda","0.0e0","http://publications.europa.eu/resource/authority/country/ATG"
"Argentina","Argentina","0.0e0","http://publications.europa.eu/resource/authority/country/ARG"
"Aruba","Aruba","0.0e0","http://publications.europa.eu/resource/authority/country/ABW"
"Australia","Australia","0.0e0","http://publications.europa.eu/resource/authority/country/AUS"
"Austria","Austria","0.0e0","http://publications.europa.eu/resource/authority/country/AUT"
"Azerbaijan","Azerbaijan","0.0e0","http://publications.europa.eu/resource/authority/country/AZE"
"Bahamas","Bahamas","0.0e0","http://publications.europa.eu/resource/authority/country/BHS"
"Bahrain","Bahrain","0.0e0","http://publications.europa.eu/resource/authority/country/BHR"
"Barbados","Barbados","0.0e0","http://publications.europa.eu/resource/authority/country/BRB"
"Belarus","Belarus","0.0e0","http://publications.europa.eu/resource/authority/country/BLR"
"Belgium","Belgium","0.0e0","http://publications.europa.eu/resource/authority/country/BEL"
"Belize","Belize","0.0e0","http://publications.europa.eu/resource/authority/country/BLZ"
"Bermuda","Bermuda","0.0e0","http://publications.europa.eu/resource/authority/country/BMU"
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","0.0e0","http://publications.europa.eu/resource/authority/country/BES"
"Botswana","Botswana","0.0e0","http://publications.europa.eu/resource/authority/country/BWA"
"Brazil","Brazil","0.0e0","http://publications.europa.eu/resource/authority/country/BRA"
"Brunei Darussalam","Brunei","0.0e0","http://publications.europa.eu/resource/authority/country/BRN"
"Bulgaria","Bulgaria","0.0e0","http://publications.europa.eu/resource/authority/country/BGR"
"Cambodia","Cambodia","0.0e0","http://publications.europa.eu/resource/authority/country/KHM"
"Canada","Canada","0.0e0","http://publications.europa.eu/resource/authority/country/CAN"
"Cayman Islands","Cayman Islands","0.0e0","http://publications.europa.eu/resource/authority/country/CYM"
"Chile","Chile","0.0e0","http://publications.europa.eu/resource/authority/country/CHL"
"China","China","0.0e0","http://publications.europa.eu/resource/authority/country/CHN"
"Colombia","Colombia","0.0e0","http://publications.europa.eu/resource/authority/country/COL"
"Cook Islands","Cook Islands","0.0e0","http://publications.europa.eu/resource/authority/country/COK"
"Costa Rica","Costa Rica","0.0e0","http://publications.europa.eu/resource/authority/country/CRI"
"Croatia","Croatia","0.0e0","http://publications.europa.eu/resource/authority/country/HRV"
"Curaçao","Curaçao","0.0e0","http://publications.europa.eu/resource/authority/country/CUW"
"Cyprus","Cyprus","0.0e0","http://publications.europa.eu/resource/authority/country/CYP"
"Czechia","Czechia","0.0e0","http://publications.europa.eu/resource/authority/country/CZE"
"Denmark","Denmark","0.0e0","http://publications.europa.eu/resource/authority/country/DNK"
"Dominican Republic","Dominican Republic","0.0e0","http://publications.europa.eu/resource/authority/country/DOM"
"Ecuador","Ecuador","0.0e0","http://publications.europa.eu/resource/authority/country/ECU"
"Estonia","Estonia","0.0e0","http://publications.europa.eu/resource/authority/country/EST"
"Finland","Finland","0.0e0","http://publications.europa.eu/resource/authority/country/FIN"
"France","France","0.0e0","http://publications.europa.eu/resource/authority/country/FRA"
"Germany","Germany","0.0e0","http://publications.europa.eu/resource/authority/country/DEU"
"Ghana","Ghana","0.0e0","http://publications.europa.eu/resource/authority/country/GHA"
"Gibraltar","Gibraltar","0.0e0","http://publications.europa.eu/resource/authority/country/GIB"
"Greece","Greece","0.0e0","http://publications.europa.eu/resource/authority/country/GRC"
"Guam","Guam","0.0e0","http://publications.europa.eu/resource/authority/country/GUM"
"Guatemala","Guatemala","0.0e0","http://publications.europa.eu/resource/authority/country/GTM"
"Guernsey","Guernsey","0.0e0","http://publications.europa.eu/resource/authority/country/GGY"
"Honduras","Honduras","0.0e0","http://publications.europa.eu/resource/authority/country/HND"
"Hong Kong","Hong Kong","0.0e0","http://publications.europa.eu/resource/authority/country/HKG"
"Hungary","Hungary","0.0e0","http://publications.europa.eu/resource/authority/country/HUN"
"Iceland","Iceland","0.0e0","http://publications.europa.eu/resource/authority/country/ISL"
"India","India","0.0e0","http://publications.europa.eu/resource/authority/country/IND"
"Indonesia","Indonesia","0.0e0","http://publications.europa.eu/resource/authority/country/IDN"
"Ireland","Ireland","0.0e0","http://publications.europa.eu/resource/authority/country/IRL"
"Isle of Man","Isle of Man","0.0e0","http://publications.europa.eu/resource/authority/country/IMN"
"Italy","Italy","0.0e0","http://publications.europa.eu/resource/authority/country/ITA"
"Jamaica","Jamaica","0.0e0","http://publications.europa.eu/resource/authority/country/JAM"
"Japan","Japan","0.0e0","http://publications.europa.eu/resource/authority/country/JPN"
"Jersey","Jersey","0.0e0","http://publications.europa.eu/resource/authority/country/JEY"
"Jordan","Jordan","0.0e0","http://publications.europa.eu/resource/authority/country/JOR"
"Kosovo","Kosovo*","0.0e0","http://publications.europa.eu/resource/authority/country/XKX"
"Kuwait","Kuwait","0.0e0","http://publications.europa.eu/resource/authority/country/KWT"
"Latvia","Latvia","0.0e0","http://publications.europa.eu/resource/authority/country/LVA"
"Lesotho","Lesotho","0.0e0","http://publications.europa.eu/resource/authority/country/LSO"
"Liechtenstein","Liechtenstein","0.0e0","http://publications.europa.eu/resource/authority/country/LIE"
"Lithuania","Lithuania","0.0e0","http://publications.europa.eu/resource/authority/country/LTU"
"Luxembourg","Luxembourg","0.0e0","http://publications.europa.eu/resource/authority/country/LUX"
"Malaysia","Malaysia","0.0e0","http://publications.europa.eu/resource/authority/country/MYS"
"Malta","Malta","0.0e0","http://publications.europa.eu/resource/authority/country/MLT"
"Marshall Islands","Marshall Islands","0.0e0","http://publications.europa.eu/resource/authority/country/MHL"
"Mauritius","Mauritius","0.0e0","http://publications.europa.eu/resource/authority/country/MUS"
"Mexico","Mexico","0.0e0","http://publications.europa.eu/resource/authority/country/MEX"
"Monaco","Monaco","0.0e0","http://publications.europa.eu/resource/authority/country/MCO"
"Netherlands","Netherlands","0.0e0","http://publications.europa.eu/resource/authority/country/NLD"
"New Zealand","New Zealand","0.0e0","http://publications.europa.eu/resource/authority/country/NZL"
"North Macedonia","North Macedonia","0.0e0","http://publications.europa.eu/resource/authority/country/MKD"
"Norway","Norway","0.0e0","http://publications.europa.eu/resource/authority/country/NOR"
"Pakistan","Pakistan","0.0e0","http://publications.europa.eu/resource/authority/country/PAK"
"Panama","Panama","0.0e0","http://publications.europa.eu/resource/authority/country/PAN"
"Papua New Guinea","Papua New Guinea","0.0e0","http://publications.europa.eu/resource/authority/country/PNG"
"Paraguay","Paraguay","0.0e0","http://publications.europa.eu/resource/authority/country/PRY"
"Peru","Peru","0.0e0","http://publications.europa.eu/resource/authority/country/PER"
"Philippines","Philippines","0.0e0","http://publications.europa.eu/resource/authority/country/PHL"
"Poland","Poland","0.0e0","http://publications.europa.eu/resource/authority/country/POL"
"Portugal","Portugal","0.0e0","http://publications.europa.eu/resource/authority/country/PRT"
"Puerto Rico","Puerto Rico","0.0e0","http://publications.europa.eu/resource/authority/country/PRI"
