"subject","equivalent","spdxurl","OPLabel","SPDXLabel","OPid","SPDXid","BestMatch","LabelID","MinDistance"
"http://publications.europa.eu/resource/authority/licence/0BSD","https://opensource.org/licenses/0BSD","https://spdx.org/licenses/0BSD","Zero-Clause BSD / Free Public License 1.0.0 (0BSD)","BSD Zero Clause License","0BSD","0BSD","0BSD","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/AGPL_3_0","https://opensource.org/licenses/AGPL-3.0","https://spdx.org/licenses/AGPL-3.0","GNU Affero General Public License version 3","GNU Affero General Public License v3.0","AGPL-3-0","AGPL-3-0","AGPL-3-0","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/APACHE_1_1","https://opensource.org/licenses/Apache-1.1","https://spdx.org/licenses/Apache-1.1","Apache Software License, version 1.1 (Apache-1.1)","Apache License 1.1","APACHE-1-1","APACHE-1-1","APACHE-1-1","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/APACHE_2_0","https://opensource.org/licenses/Apache-2.0","https://spdx.org/licenses/Apache-2.0","Apache License, Version 2.0","Apache License 2.0","APACHE-2-0","APACHE-2-0","APACHE-2-0","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/ARTISTIC_1_0","https://opensource.org/licenses/Artistic-1.0","https://spdx.org/licenses/Artistic-1.0","Artistic License 1.0 (Artistic-1.0)","Artistic License 1.0","ARTISTIC-1-0","ARTISTIC-1-0","ARTISTIC-1-0","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/APL_1_0","https://opensource.org/licenses/APL-1.0","https://spdx.org/licenses/APL-1.0","Adaptive Public License 1.0","Adaptive Public License 1.0","APL-1-0","APL-1-0","Adaptive Public License 1.0","Label","0.0e0"
"http://publications.europa.eu/resource/authority/licence/APSL_2_0","https://opensource.org/licenses/APSL-2.0","https://spdx.org/licenses/APSL-2.0","Apple Public Source License 2.0","Apple Public Source License 2.0","APSL-2-0","APSL-2-0","Apple Public Source License 2.0","Label","0.0e0"
"http://publications.europa.eu/resource/authority/licence/ARTISTIC_2_0","https://opensource.org/licenses/Artistic-2.0","https://spdx.org/licenses/Artistic-2.0","Artistic License 2.0","Artistic License 2.0","ARTISTIC-2-0","ARTISTIC-2-0","Artistic License 2.0","Label","0.0e0"
"http://publications.europa.eu/resource/authority/licence/BSD_2_CLAUSE","https://opensource.org/licenses/BSD-2-Clause","https://spdx.org/licenses/BSD-2-Clause","2-Clause BSD License","BSD 2-Clause ""Simplified"" License","BSD-2-CLAUSE","BSD-2-CLAUSE","BSD-2-CLAUSE","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/BSD_3_CLAUSE","https://opensource.org/licenses/BSD-3-Clause","https://spdx.org/licenses/BSD-3-Clause","3-Clause BSD License","BSD 3-Clause ""New"" or ""Revised"" License","BSD-3-CLAUSE","BSD-3-CLAUSE","BSD-3-CLAUSE","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/BSD_3_CLAUSE_LBNL","https://opensource.org/licenses/BSD-3-Clause-LBNL","https://spdx.org/licenses/BSD-3-Clause-LBNL","Lawrence Berkeley National Labs BSD Variant License (BSD-3-Clause-LBNL)","Lawrence Berkeley National Labs BSD variant license","BSD-3-CLAUSE-LBNL","BSD-3-CLAUSE-LBNL","BSD-3-CLAUSE-LBNL","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/BSL_1_0","https://opensource.org/licenses/BSL-1.0","https://spdx.org/licenses/BSL-1.0","Boost Software License 1.0","Boost Software License 1.0","BSL-1-0","BSL-1-0","Boost Software License 1.0","Label","0.0e0"
"http://publications.europa.eu/resource/authority/licence/CATOSL_1_1","https://opensource.org/licenses/CATOSL-1.1","https://spdx.org/licenses/CATOSL-1.1","Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1)","Computer Associates Trusted Open Source License 1.1","CATOSL-1-1","CATOSL-1-1","CATOSL-1-1","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/CC_BY_3_0_AT","https://creativecommons.org/licenses/by/3.0/at/legalcode","https://spdx.org/licenses/CC-BY-3.0-AT","Attribution 3.0 Austria","Creative Commons Attribution 3.0 Austria","CC-BY-3-0-AT","CC-BY-3-0-AT","CC-BY-3-0-AT","ID","0.0e0"
"http://publications.europa.eu/resource/authority/licence/CC_BY_3_0_NL","http://creativecommons.org/licenses/by/3.0/nl/legalcode","https://spdx.org/licenses/CC-BY-3.0-NL","Attribution 3.0 Netherlands","Creative Commons Attribution 3.0 Netherlands","CC-BY-3-0-NL","CC-BY-3-0-NL","CC-BY-3-0-NL","ID","0.0e0"
